article-title,article-pmid
Language exposure induced neuroplasticity in the bilingual brain: A follow-up fMRI study ,25461703
Argument structure effects in action verb naming in static and dynamic conditions,20160850
Neurocognitive Deficits in Male Alcoholics: An ERP/sLORETA Analysis of the N2 Component in an Equal Probability Go/NoGo Task,22024409
Effect of median-nerve electrical stimulation on BOLD activity in acute ischemic stroke patients ,21741301
Network Analysis Reveals Increased Integration during Emotional and Motivational Processing,22699916
Evaluating the impact of cannabis use on thalamic connectivity in youth at clinical high risk of psychosis,26553191
Neural activity during emotion recognition after combined cognitive plus social-cognitive training in schizophrenia,22695257
Amygdala integrates emotional expression and gaze direction in response to dynamic facial expressions ,20096793
Reduced Medial Prefrontal Cortex Volume in Adults Reporting Childhood Emotional Maltreatment ,20692648
Neuropsychological profile of prodromal Alzheimer's disease (Prd-AD) and their radiological correlates ,20381176
Altered spontaneous neuronal activity in chronic posttraumatic stress disorder patients before and after a 12-week paroxetine treatment ,25527996
Resting state functional connectivity in early blind humans,24778608
Effect of Acupuncture in Mild Cognitive Impairment and Alzheimer Disease: A Functional MRI Study,22916152
Instantaneous and Causal Connectivity in Resting State Brain Networks Derived from Functional MRI Data,20850549
Brain Bases for Auditory Stimulus-Driven Figure–Ground Segregation,21209201
Sex Differences in Neural Activation to Facial Expressions Denoting Contempt and Disgust,18985147
Increased Low-Frequency Oscillation Amplitude of Sensorimotor Cortex Associated with the Severity of Structural Impairment in Cervical Myelopathy,25111566
Catching falling objects: the role of the cerebellum in processing sensory–motor errors that may influence updating of feedforward commands. An fMRI study ,21718759
The impact of passive hyperthermia on human attention networks: An fMRI study ,23333840
Prediction error for free monetary reward in the human prefrontal cortex ,15528079
Distinct neural correlates for two types of inhibition in bilinguals: Response inhibition versus interference suppression ,20965635
A comprehensive neuropsychological mapping battery for functional magnetic resonance imaging ,23892066
Structural Brain Correlates of Human Sleep Oscillations,23770411
The neural bases of the multiplication problem-size effect across countries,23717274
Synaesthetic perception of colour and visual space in a blind subject: An fMRI case study ,22507663
Supramodal language comprehension: Role of the left temporal lobe for listening and reading ,17451759
Age-related prefrontal over-recruitment in semantic memory retrieval: Evidence from successful face naming and the tip-of-the-tongue state ,19559070
"Hunger is the best spice: An fMRI study of the effects of attention, hunger and calorie content on food reward processing in the amygdala and orbitofrontal cortex ",19028527
Rule-dependent prefrontal cortex activity across episodic and perceptual decisions: An fMRI investigation of the criterial classification account,18578596
Longitudinal Brain White Matter Alterations in Minimal Hepatic Encephalopathy before and after Liver Transplantation,25166619
Beta activity in the premotor cortex is increased during stabilized as compared to normal walking,26578937
Decreasing predictability of visual motion enhances feed-forward processing in visual cortex when stimuli are behaviorally relevant,27334340
Disrupting the brain to validate hypotheses on the neurobiology of language,23630480
"Mesolimbic recruitment by nondrug rewards in detoxified alcoholics: Effort anticipation, reward anticipation, and reward delivery †",22281932
Neural Basis of Scientific Innovation Induced by Heuristic Prototype,23372641
State and Training Effects of Mindfulness Meditation on Brain Networks Reflect Neuronal Mechanisms of Its Antidepressant Effect,26998365
Influence of Repressive Coping Style on Cortical Activation during Encoding of Angry Faces,25502775
Functional brain substrate of quality of life in patients with schizophrenia: A brain SPECT multidimensional analysis ,27000309
A longitudinal fMRI study: in recovering and then in clinically stable sub-cortical stroke patients ,15528083
Prototype-distortion category learning: A two-phase learning process across a distributed network ,16406637
Fear is only as deep as the mind allows A coordinate-based meta-analysis of neuroimaging studies on the regulation of negative affect,21669291
Recovery of resting brain connectivity ensuing mild traumatic brain injury,26441610
Role of the Insula and Vestibular System in Patients with Chronic Subjective Dizziness: An fMRI Study Using Sound-Evoked Vestibular Stimulation,26696853
Selecting for Memory? The Influence of Selective Attention on the Mnemonic Binding of Contextual Information,19553466
Correlating Gray Matter Volume with Individual Difference in the Flanker Interference Effect,26322974
Resting-State Functional Connectivity in Major Depression: Abnormally Increased Contributions from Subgenual Cingulate Cortex and Thalamus,17210143
Regional sex differences in grey matter volume are associated with sex hormones in the young adult human brain ,19796695
Decision-making deficit of a patient with axonal damage after traumatic brain injury ,24316983
Triangles have goals too: Understanding action representation in left aIPS ,20434468
Structural brain alterations associated with dyslexia predate reading onset,20884362
"Is left fronto-temporal connectivity essential for syntax? Effective connectivity, tractography and performance in left-hemisphere damaged patients ",21722742
Pain-Related Brain Activity Evoked by Active and Dynamic Arm Movement: Delayed-Onset Muscle Soreness as a Promising Model for Studying Movement-Related Pain in Humans,25929675
Increased premotor cortex activation in high functioning autism during action observation ,25726458
Dissociation between Dorsal and Ventral Posterior Parietal Cortical Responses to Incidental Changes in Natural Scenes,23874482
Broca's Area and the Hierarchical Organization of Human Behavior ,16772176
Age-Related Functional Changes in Gustatory and Reward Processing Regions: An fMRI Study,20472070
Medial prefrontal brain activation to anticipated reward and loss in obsessive–compulsive disorder ☆,24179774
Left Dorsal Speech Stream Components and Their Contribution to Phonological Processing,25632119
Nicotine Increases Cerebellar Activity during Finger Tapping,24358367
Functional Imaging of Implicit Marijuana Associations during performance on an Implicit Association Test (IAT),24029699
Neural evidence of a role for spatial response selection in the learning of spatial sequences ,18976640
The human hippocampus is sensitive to the durations of events and intervals within a sequence ,25223466
Hierarchical organization of speech perception in human auditory cortex,25565939
Interaction between process and content in semantic memory: An fMRI study of noun feature knowledge,19041332
Autonomic and brain responses associated with empathy deficits in autism spectrum disorder,25995134
The Neural Basis of Risky Choice with Affective Outcomes,25830918
Brain Correlates of Mathematical Competence in Processing Mathematical Representations,22069387
Resting States Are Resting Traits – An fMRI Study of Sex Differences and Menstrual Cycle Effects in Resting State Cognitive Control Networks,25057823
"Hidden sources of joy, fear, and sadness: Explicit versus implicit neural processing of musical emotions ",27394152
Functional connectivity classification of autism identifies highly predictive brain features but falls short of biomarker standards,25685703
Abnormal resting-state functional connectivity patterns of the putamen in medication-naïve children with attention deficit hyperactivity disorder ,19699190
Abnormal Object Recall and Anterior Cingulate Overactivation Correlate with Formal Thought Disorder in Schizophrenia ,16199012
Working Memory and Default Mode Network abnormalities in unaffected siblings of schizophrenia patients ,24051015
"Language in context: emergent features of word, sentence, and narrative comprehension ",15809000
Two routes to emotional memory: Distinct neural processes for valence and arousal,14981255
Altered connectivity of the dorsal and ventral visual regions in dyslexic children: a resting-state fMRI study,26441595
Changes in intrinsic functional connectivity and group relevant salience: The case of sport rivalry ,28487224
Neuroanatomical correlates of attitudes toward suicide in a large healthy sample: A voxel-based morphometric analysis ,26593961
Cognitive impact of genetic variation of the serotonin transporter in primates is associated with differences in brain morphology rather than serotonin neurotransmission,19721434
Disrupted segregation of working memory networks in temporal lobe epilepsy ☆,24179782
Trait impulsivity and impaired prefrontal impulse inhibition function in adolescents with internet gaming addiction revealed by a Go/No-Go fMRI study,24885073
The effects of handwriting experience on functional brain development in pre-literate children,25541600
Oxytocin effects on mind-reading are moderated by experiences of maternal love withdrawal: An fMRI study ,24486563
Abnormal Regional Brain Function in Parkinson’s Disease: Truth or Fiction?,18992824
An fMRI study of neuronal specificity of an acupoint: Electroacupuncture stimulation of Yanglingquan (GB34) and its sham point ,19666085
Human cortical activity evoked by contextual processing in attentional orienting,28592863
Joint independent component analysis of structural and functional images reveals complex patterns of functional reorganisation in stroke aphasia ,19524049
"The Effects of Energy Balance, Obesity-Proneness and Sex on the Neuronal Response to Sweet Taste",25447301
An fMRI study of unconditioned responses in post-traumatic stress disorder,22738227
Neural Activation during Anticipation of Near Pain-Threshold Stimulation among the Pain-Fearful,27489536
Morphological brain plasticity induced by musical expertise is accompanied by modulation of functional connectivity at rest ,24418502
Diurnal Microstructural Variations in Healthy Adult Brain Revealed by Diffusion Tensor Imaging,24400118
FUNCTIONAL NETWORK ARCHITECTURE OF READING-RELATED REGIONS ACROSS DEVELOPMENT,23506969
Secondary Progressive and Relapsing Remitting Multiple Sclerosis Leads to Motor-Related Decreased Anatomical Connectivity,24748023
Greater Activation of the “Default” Brain Regions Predicts Stop Signal Errors,17884586
Motor familiarity: Brain activation when watching kinematic displays of one's own movements ,22609578
Alertness in young healthy subjects: An fMRI study of brain region interactivity enhanced by a warning signal ,19875216
"Tracking Moving Identities: After Attending the Right Location, the Identity Does Not Come for Free",22927940
Reward-related neural responses are dependent on the beneficiary,23720575
Quantitative analysis of asymmetrical cortical activity in motor areas during sequential finger movement ,17482410
Experimental Placebo Analgesia Changes Resting-State Alpha Oscillations,24147129
Time-course of cortical networks involved in working memory,24523686
fMR-Adaptation Reveals Invariant Coding of Biological Motion on the Human STS,20431723
The relative contributions of frontal and parietal cortex for generalized quantifier comprehension,25147520
Interaction of Stimulus-Driven Reorienting and Expectation in Ventral and Dorsal Frontoparietal and Basal Ganglia-Cortical Networks,19357267
Correlation between gray/white matter volume and cognition in healthy elderly people ,21131121
Maternal status regulates cortical responses to the body odor of newborns,24046759
Stimulus Complexity and Categorical Effects in Human Auditory Cortex: An Activation Likelihood Estimation Meta-Analysis,21833294
Brain structure abnormalities in young women who presented conduct disorder in childhood/adolescence,28695488
The impact of affect and frequency on lexical decision: The role of the amygdala and inferior frontal cortex ,16647271
"Listening to an Audio Drama Activates Two Processing Networks, One for All Sounds, Another Exclusively for Speech",23734202
Working Memory Training Using Mental Calculation Impacts Regional Gray Matter of the Frontal and Parietal Regions,21886781
Disrupted amplitude of low-frequency fluctuations in antipsychotic-naïve adolescents with early-onset schizophrenia ,27000303
Separate neural processes for retrieval of voice identity and word content in working memory ,19063872
"
               FTO gene variant modulates the neural correlates of visual food perception ",26767945
"Negative affectivity, self-referential processing and the cortical midline structures",20519253
Increased ventral striatal activity during monetary decision-making is a marker of problem poker gambling severity,25781641
Repetition-related reductions in neural activity reveal component processes of mental simulation,23482621
Abnormal default-mode network in angiotensin converting enzyme D allele carriers with remitted geriatric depression ,22348891
Neural substrates for dividing and focusing attention between simultaneous auditory and visual events ,16616520
"Don’t worry, be happy - Neural correlates of the influence of musically induced mood on self-evaluation ",28392302
White matter microstructure between the pre‐ SMA and the cingulum bundle is related to response conflict in healthy subjects,26516610
Quantitative Meta-Analysis on State and Trait Aspects of Auditory Verbal Hallucinations in Schizophrenia,21177743
Altered regional homogeneity in experimentally induced low back pain: a resting-state fMRI study,25080831
Responses to irrational actions in action observation and mentalising networks of the human brain ,25241085
Variables influencing the neural correlates of perceived risk of physical harm,21671045
Cerebral mechanisms for different second language writing systems ,23938321
White matter volume and concentration reductions in adolescents with history of very preterm birth: A voxel-based morphometry study ,16809052
ALS-Plus Syndrome: Non-Pyramidal Features in a Large ALS Cohort,25086858
Neural bases of asymmetric language switching in second-language learners: An ER-fMRI study ,17324590
Functional connectivity in fronto-subcortical circuitry during the resting state in obsessive-compulsive disorder ,20302914
Neural Substrate of Initiation of Cross-Modal Working Memory Retrieval,25090230
Effects of adaptation on numerosity decoding in the human brain,27622396
Sex similarities and differences in pain-related periaqueductal gray connectivity,22154332
Interoceptive–reflective regions differentiate alexithymia traits in depersonalization disorder,23932225
Age of acquisition effects on the functional organization of language in the adult brain ,21705060
"An fMRI Study of Obesity, Food Reward, and Perceived Caloric Density: Does a Low-Fat Label Make Food Less Appealing?",21497628
Flexible brain network reconfiguration supporting inhibitory control,26216985
Functional connectivity with anterior cingulate and orbitofrontal cortices during decision-making ,15795134
Resting-state connectivity in the prodromal phase of schizophrenia: Insights from EEG microstates ,24389056
Functional and effective connectivity of stopping ,24631789
Cognitive Behavioral Therapy increases pain-evoked activation of the prefrontal cortex in patients with fibromyalgeia ,22617632
Increased functional connectivity within mesocortical networks in open people ,25234120
Maintenance of youth-like processing protects against false memory in later adulthood ,25453561
Comparing Natural and Constrained Movements: New Insights into the Visuomotor Control of Grasping,17971871
Intrinsic Brain Activity of Cognitively Normal Older Persons Resembles More That of Patients Both with and at Risk for Alzheimer's Disease Than That of Healthy Younger Persons,24689864
Investigating the functions of subregions within anterior hippocampus,26478961
Antidepressant Drug Treatment Modifies the Neural Processing of Nonconscious Threat Cues ,16460693
Neural activity that predicts subsequent memory and forgetting: A meta-analysis of 74 fMRI studies ,20869446
Behavioral and Neural Correlates of Executive Functioning in Musicians and Non-Musicians,24937544
Common and unique components of response inhibition revealed by fMRI ,16019232
Activation of Brain Regions Vulnerable to Alzheimer’s Disease,16226349
Dual processing streams in chemosensory perception,23091456
An investigation of potential neural correlates of intrusive retrieval of distressing memories ,28886406
Prosodic clues to syntactic processing—a PET and ERP study ,16188459
The Thalamus and Brainstem Act As Key Hubs in Alterations of Human Brain Network Connectivity Induced by Mild Propofol Sedation,23447611
Altered Cognitive Control Activations after Moderate-to-Severe Traumatic Brain Injury and Their Relationship to Injury Severity and Everyday-Life Function,24557637
Neuropsychological deficits and neural dysfunction in familial dyslexia ,16934234
Working memory fMRI activation in cocaine dependent subjects: association with treatment response,20153142
The Cognitive Control of Memory: Age Differences in the Neural Correlates of Successful Remembering and Intentional Forgetting,24475211
"Selective effects of social anxiety, anxiety sensitivity, and negative affectivity on the neural bases of emotional face processing ",21920442
Dissociable Processes of Cognitive Control during Error and Non-Error Conflicts: A Study of the Stop Signal Task,20949134
Enhancement and suppression in a lexical interference fMRI-paradigm,22574280
Full Scenes produce more activation than Close-up Scenes and Scene-Diagnostic Objects in parahippocampal and retrosplenial cortex: An fMRI study ,17606317
Placing a tool in the spotlight: spatial attention modulates visuomotor responses in cortex ,15862227
Neural activity changes in unaffected children of patients with schizophrenia: A resting-state fMRI study ,26232869
The origins of metamodality in visual object area LO: Bodily topographical biases and increased functional connectivity to S1,26673114
The effects of changes in object location on object identity detection: A simultaneous EEG-fMRI study ,28629974
Functional magnetic resonance imaging data of incremental increases in visuo-spatial difficulty in an adult lifespan sample,28138504
The intrinsic functional organization of the brain is altered in autism ,18083565
Brain Structural Alterations in Obsessive-Compulsive Disorder Patients with Autogenous and Reactive Obsessions,24098688
Hemispheric lateralization of verbal and spatial working memory during adolescence,23511846
"What shall I be, what must I be: neural correlates of personal goal activation",23316145
Neural markers of a greater female responsiveness to social stimuli,18590546
Diffusion Tensor Imaging Study of White Matter Damage in Chronic Meningitis,24892826
The shaping of social perception by stimulus and knowledge cues to human animacy,26644594
Neuroanatomical Substrates of Foresight in Schizophrenia,18603414
Transition from rest to movement: Brain correlates revealed by functional connectivity ,19527788
Neural correlates associated with symptom provocation in pediatric obsessive compulsive disorder after a single session of sham-controlled repetitive transcranial magnetic stimulation ,26228567
Cognitive and neural consequences of memory suppression in major depressive disorder,27649971
Disruption of Functional Connectivity of the Default-Mode Network in Alcoholism,21368086
The role of the dorsal stream for gesture production ,16154363
Sharing self-related information is associated with intrinsic functional connectivity of cortical midline brain regions,26948055
Intrinsic Functional Plasticity of the Thalamocortical System in Minimally Disabled Patients with Relapsing-Remitting Multiple Sclerosis,26834600
Serotonin Transporter Genotype Modulates Subgenual Response to Fearful Faces Using an Incidental Task,21568644
Aberrant functional connectivity in autism: Evidence from low-frequency BOLD signal fluctuations,19401185
Cannabis cue-induced brain activation correlates with drug craving in limbic and visual salience regions: Preliminary results,24035535
Neural traces of stress: cortisol related sustained enhancement of amygdala-hippocampal functional connectivity,23847492
Neural coding of stimulus concentration in the human olfactory and intranasal trigeminal systems ,18485604
The effect of stimulus context on pitch representations in the human auditory cortex ,20211739
Altered spontaneous neural activity in the occipital face area reflects behavioral deficits in developmental prosopagnosia ,27475965
The neural basis of hand gesture comprehension: A meta-analysis of functional magnetic resonance imaging studies ,26271719
Life stress in adolescence predicts early adult reward-related brain function and alcohol dependence,24795442
Regional volumetric change in Parkinson's disease with cognitive decline ,28131236
Increased Cortical Activity in Binge Drinkers during Working Memory Task: A Preliminary Assessment through a Functional Magnetic Resonance Imaging Study,23638017
Neural correlates of crossmodal visual-tactile extinction and of tactile awareness revealed by fMRI in a right-hemisphere stroke patient ,16765998
Modulations of the executive control network by stimulus onset asynchrony in a Stroop task,23902451
Somatotopic reorganization of hand representation in bilateral arm amputees with or without special foot movement skill ,24373804
Financial Literacy is Associated with Medial Brain Region Functional Connectivity in Old Age,24893911
Association of familial risk for schizophrenia with thalamic and medial prefrontal functional connectivity during attentional control ,27012899
Not all declarative memories are created equal: Fast Mapping as a direct route to cortical declarative representations ,25988227
Functional connectivity and cognitive impairment in migraine with and without aura,28730563
Effects of naltrexone are influenced by childhood adversity during negative emotional processing in addiction recovery,28267152
The neural basis of deictic shifting in linguistic perspective-taking in high-functioning autism,21733887
An fMRI examination of the effects of acoustic-phonetic and lexical competition on access to the lexical-semantic network,23816958
"Clarifying the Role of the Rostral dmPFC/dACC in Fear/Anxiety: Learning, Appraisal or Expression?",23189183
Expectations of Task Demands Dissociate Working Memory and Long-Term Memory Systems,25577575
Identification of a Nonsense Mutation in CWC15 Associated with Decreased Reproductive Efficiency in Jersey Cattle,23349982
Strategy-effects in prefrontal cortex during learning of higher-order S–R rules ,21554965
An Anterior-to-Posterior Shift in Midline Cortical Activity in Schizophrenia During Self-Reflection,21144498
Social conceptual impairments in frontotemporal lobar degeneration with right anterior temporal hypometabolism,19153155
Neural correlates of morphosyntactic and verb-argument structure processing: An EfMRI study ,19664766
Reduced Hippocampal Functional Connectivity During Episodic Memory Retrieval in Autism,28057726
Neural Correlates of Instrumental Contingency Learning: Differential Effects of Action–Reward Conjunction and Disjunction,21325514
Reading embossed capital letters: An fMRI study in blind and sighted individuals,16142777
Dorsal stream development in motion and structure-from-motion perception ,18096410
Aberrant default mode network in subjects with amnestic mild cognitive impairment using resting-state functional MRI,21982164
The central role of the temporo-parietal junction and the superior longitudinal fasciculus in supporting multi-item competition: Evidence from lesion-symptom mapping of extinction ,22192727
Empirical comparison of maximal voxel and non-isotropic adjusted cluster extent results in a voxel-based morphometry study of comorbid learning disability with schizophrenia ,16085427
Neural underpinning of postural responses to visual field motion ,16338048
The neural correlates of specific versus general autobiographical memory construction and elaboration,21803063
Ventral and dorsal pathways for language,19004769
From Agents to Objects: Sexist Attitudes and Neural Responses to Sexualized Targets,20350187
Single dose of a dopamine agonist impairs reinforcement learning in humans: Evidence from event‐related potentials and computational modeling of striatal‐cortical function,18726908
Differences in Regional Glucose Metabolism of the Brain Measured with F-18-FDG-PET in Patients with Essential Tremor According to Their Response to Beta-Blockers,26357492
Neuro-anatomical differences among epileptic and non-epileptic déjà-vu ,25461702
Human Choline Transporter Gene Variation Is Associated with Corticolimbic Reactivity and Autonomic-Cholinergic Function ,16876130
Attentional priorities and access to short-term memory: Parietal interactions ,22634216
Individual differences in brain structure and resting-state functional connectivity associated with Type A behavior pattern ,24814728
The Influence of Work-Related Chronic Stress on the Regulation of Emotion and on Functional Connectivity in the Brain,25184294
Contributions of amygdala and striatal activity in emotion regulation ,15780849
Regional Gray Matter Changes Are Associated with Cognitive Deficits in Remitted Geriatric Depression: An Optimized Voxel-Based Morphometry Study ,18550031
Impulsivity and Self-Control during Intertemporal Decision Making Linked to the Neural Dynamics of Reward Value Representation,23283347
Dissociating patterns of anterior and posterior hippocampal activity and connectivity during distinct forms of category fluency ,27343687
Sociotopy in the temporoparietal cortex: common versus distinct processes,19966326
Early visual processing for low spatial frequency fearful face is correlated with cortical volume in patients with schizophrenia,26730192
Neurofunctional Correlates of Environmental Cognition: An fMRI Study with Images from Episodic Memory,25875000
Neural Representations of the Self and the Mother for Chinese Individuals,24614597
Differences in Regional Brain Activation Patterns Assessed by Functional Magnetic Resonance Imaging in Patients with Systemic Lupus Erythematosus Stratified by Disease Duration,21953419
Elucidating neuroanatomical alterations in the at risk mental state and first episode psychosis: A combined voxel-based morphometry and voxel-based cortical thickness study ☆,24084578
Preliminary structural MRI based brain classification of chronic pelvic pain: A MAPP Network Study,25242566
APOE e4 polymorphism in young adults is associated with improved attention and indexed by distinct neural signatures ,23063453
Cytoarchitectonical analysis and probabilistic mapping of two extrastriate areas of the human posterior fusiform gyrus,22488096
Neural representations of graspable objects: are tools special? ,15722215
Alcohol induced region-dependent alterations of hemodynamic response: implications for the statistical interpretation of pharmacological fMRI studies,20502888
Motor execution and motor imagery: A comparison of functional connectivity patterns based on graph theory ,24333970
Age-related impairment in a complex object discrimination task that engages perirhinal cortex,22987676
"Brain activity during source memory retrieval in young, middle-aged and old adults ",26054305
Abnormal Social Reward Responses in Anorexia Nervosa: An fMRI Study,26197051
Aberrant emotional processing in posterior cortical midline structures in bipolar II depression ,21664220
Neurobiological correlates of physical self-concept and self-identification with avatars in addicted players of Massively Multiplayer Online Role-Playing Games (MMORPGs) ,25123348
Brain activation in response to bladder filling and simultaneous stimulation of the dorsal clitoral nerve—An fMRI study in healthy women ,18434200
Towards natural stimulation in fMRI—Issues of data analysis ,17208459
A preliminary longitudinal fMRI study of frontal-subcortical circuits in bipolar disorder using a paced motor activation paradigm ,17316821
The Parahippocampal Cortex Mediates Contextual Associative Memory: Evidence from an fMRI Study,27247946
Studying Memory Encoding to Promote Reliable Engagement of the Medial Temporal Lobe at the Single-Subject Level,25803273
Disrupted regional homogeneity in treatment-resistant depression: A resting-state fMRI study ,21338650
The neural processing of moral sensitivity to issues of justice and care ,17174987
"Context conditioning and extinction in humans: differential contribution of the hippocampus, amygdala and prefrontal cortex",19200075
Theory of mind in schizophrenia: Exploring neural mechanisms of belief attribution,22050432
Neural mechanisms supporting evaluation of others’ errors in real-life like conditions,26729348
Differential representation of feedback and decision in adolescents and adults,24513024
Recovery of orthographic processing after stroke: A longitudinal fMRI study,28463704
Changes in visual perspective influence brain activity patterns during cognitive perspective-taking of other people's pain ,27012986
Coupling between Visual Alpha Oscillations and Default Mode Activity,23228510
Exposure to childhood trauma is associated with altered n-back activation and performance in healthy adults: implications for a commonly used working memory task,25804310
Thirsty heroin addicts show different fMRI activations when exposed to water-related and drug-related cues ,16406379
"The Relationship between Self-Awareness of Attentional Status, Behavioral Performance and Oscillatory Brain Rhythms",24069368
Quantifying temporal correlations: A test–retest evaluation of functional connectivity in resting-state fMRI ,23032492
Separate cortical networks involved in music perception: preliminary functional MRI evidence for modularity of music processing ,15784423
Effects of Healthy Aging on Hippocampal and Rhinal Memory Functions: An Event-Related fMRI Study,16421332
Chemotherapy Altered Brain Functional Connectivity in Women with Breast Cancer: A Pilot Study,23852814
Inhibition-Induced Forgetting Results from Resource Competition between Response Inhibition and Memory Encoding Processes,26311775
Familiarity and Conceptual Priming Engage Distinct Cortical Networks,18056085
Capturing inter-subject variability with group independent component analysis of fMRI data: a simulation study,22019879
Towards quantification of blood-flow changes during cognitive task activation using perfusion-based fMRI ,15978840
"Distribution of Response Time, Cortical, and Cardiac Correlates during Emotional Interference in Persons with Subclinical Psychotic Symptoms",27660608
The Neural Correlates of Reading Fluency Deficits in Children,24335032
Neural changes related to motion processing in healthy aging,28648917
Abnormally increased and incoherent resting-state activity is shared between patients with schizophrenia and their unaffected siblings ,26805410
Sex-dependent age modulation of frontostriatal and temporo-parietal activation during cognitive control ,19580877
Broca's area plays a role in syntactic processing during Chinese reading comprehension ,18255103
Spontaneous Activity Associated with Delusions of Schizophrenia in the Left Medial Superior Frontal Gyrus: A Resting-State fMRI Study,26204264
Comparative functional neuroanatomy between implicit and explicit memory tasks under negative emotional condition in schizophrenia ,28395192
Common and distinct neural correlates of personal and vicarious reward: A quantitative meta-analysis,25554428
The Neural Basis of Mark Making: A Functional MRI Study of Drawing,25271440
Enhancing creativity by means of cognitive stimulation: Evidence from an fMRI study ,20561898
Association Between Learning Capabilities and Practice-Related Activation Changes in Schizophrenia,20368310
"Amygdala, pulvinar, and inferior parietal cortex contribute to early processing of faces without awareness",23761748
Cortical dynamics of human scalp EEG origins in a visually guided motor execution ,22659479
Task constraints modulate activation in right ventral lateral prefrontal cortex ,15979899
Functional Deficits in the Extrastriate Body Area During Observation of Sports-Related Actions in Schizophrenia,18927345
Influence of Emotional Expression on Memory Recognition Bias: A Functional Magnetic Resonance Imaging Study ,17543896
Functional brain activation associated with working memory training and transfer ,28750832
Neural substrates in judgment process while playing go: a comparison of amateurs with professionals ,15820625
The neural correlates of cognitive control in bipolar I disorder: An fMRI study of medial frontal cortex activation during a Go/No-go task ,23778236
Neural correlates of observing pretend play in which one object is represented as another,19535615
Comparison of Obese Adults with Poor versus Good Sleep Quality during a Functional Neuroimaging Delay Discounting Task: A Pilot Study,26358975
Abnormal Regional Homogeneity in Patients with Essential Tremor Revealed by Resting-State Functional MRI,23869236
Acupuncture modulates temporal neural responses in wide brain networks: evidence from fMRI study,21044291
Brain networks associated with sublexical properties of Chinese characters,21600637
Activation of the hippocampal complex during tactile maze solving in congenitally blind subjects ,22483742
Goal-Congruent Default Network Activity Facilitates Cognitive Control,25319706
Baby schema modulates the brain reward system in nulliparous women,19451625
Body schematics: On the role of the body schema in embodied lexical–semantic representations ,19782094
Multisensory perception of action in posterior temporal and parietal cortices,21036183
Intra- and inter-hemispheric effective connectivity in the human somatosensory cortex during pressure stimulation,24649878
Abnormal Baseline Brain Activity in Non-Depressed Parkinson’s Disease and Depressed Parkinson’s Disease: A Resting-State Functional Magnetic Resonance Imaging Study,23717467
The Effects of Brief Behavioral Activation Therapy for Depression on Cognitive Control in Affective Contexts: an fMRI investigation,20421135
Functional changes in brain activity after hypnosis in patients with dental phobia ,27720948
Functional Brain Activation in Response to a Clinical Vestibular Test Correlates with Balance,28344549
"Human striatum is differentially activated by delayed, omitted, and immediate registering feedback",22969713
Short- and long-range functional connectivity density alterations in adolescents with pure conduct disorder at resting-state ,28377176
Immature Frontal Lobe Contributions to Cognitive Control in Children: Evidence from fMRI,11804576
Comprehensive neural networks for guilty feelings in young adults ,25462799
Training of verbal creativity modulates brain activity in regions associated with language‐ and memory‐related demands,26178653
Altered homotopic connectivity in postherpetic neuralgia: a resting state fMRI study,27826209
Modulation of the sensorimotor system by sustained manual pressure stimulation ,28229931
Enhancing insight in scientific problem solving by highlighting the functional features of prototypes: An fMRI study ,23994216
Increased Grey Matter Associated with Long-Term Sahaja Yoga Meditation: A Voxel-Based Morphometry Study,26938433
Dynamics of male sexual arousal: distinct components of brain activation revealed by fMRI ,15961048
Nicotine Enhances Visuospatial Attention by Deactivating Areas of the Resting Brain Default Network,17392464
The Desire for Amputation or Paralyzation: Evidence for Structural Brain Anomalies in Body Integrity Identity Disorder (BIID),27832097
The Neural Basis of Contextual Influences on Face Categorization,24006403
Early visual learning induces long-lasting connectivity changes during rest in the human brain,23558105
Rule and similarity in grammar: Their interplay and individual differences in the brain ,22369994
The relationship within and between the extrinsic and intrinsic systems indicated by resting state correlational patterns of sensory cortices ,17499519
The deaf utilize phonological representations in visually presented verbal memory tasks ,25498951
Crossed cerebral lateralization for verbal and visuo-spatial function in a pair of handedness discordant monozygotic twins: MRI and fMRI brain imaging,18304205
Variations of response time in a selective attention task are linked to variations of functional connectivity in the attentional network,20728549
Pain Facilitation Brain Regions Activated by Nalbuphine Are Revealed by Pharmacological fMRI,23341872
"BDNF Polymorphisms Are Linked to Poorer Working Memory Performance, Reduced Cerebellar and Hippocampal Volumes and Differences in Prefrontal Cortex in a Swedish Elderly Population",24465375
Decreased white-matter density in a left-sided fronto-temporal network in children with developmental language disorder: Evidence for anatomical anomalies in a motor-language network ,17010420
Face-Specific Resting Functional Connectivity between the Fusiform Gyrus and Posterior Superior Temporal Sulcus,21151362
Do you mean me? Communicative intentions recruit the mirror and the mentalizing system,23620602
Superior Temporal Sulcus Disconnectivity During Processing of Metaphoric Gestures in Schizophrenia,23956120
Neural activation in speech production and reading aloud in native and non-native languages ,25776210
Glucose administration enhances fMRI brain activation and connectivity related to episodic memory encoding for neutral and emotional stimuli ,21335014
Interindividual Variability in Functional Connectivity as Long-Term Correlate of Temporal Discounting,25774886
Cognitive Control of Drug Craving Inhibits Brain Reward Regions in Cocaine Abusers,19913102
Dynamic Reconfiguration of Structural and Functional Connectivity Across Core Neurocognitive Brain Networks with Development,22171056
Visual detection and identification are not the same: Evidence from psychophysics and fMRI ,21051129
